tenure,InternetService,Contract,MonthlyCharges,Churn
29,DSL,Month-to-month,35.65,0
1,Fiber optic,Month-to-month,90.55,1
67,DSL,Two year,85.25,0
1,No,Month-to-month,19.5,0
26,Fiber optic,Month-to-month,88.8,1
30,No,Two year,25.1,0
48,Fiber optic,Month-to-month,100.05,0
55,DSL,Month-to-month,55.7,0
7,Fiber optic,Month-to-month,85.2,1
37,Fiber optic,Month-to-month,91.15,0
31,Fiber optic,Month-to-month,83.85,0
4,DSL,Month-to-month,45.9,0
72,No,Two year,25.1,0
5,Fiber optic,Month-to-month,91.4,1
1,No,Month-to-month,19.7,0
15,Fiber optic,Month-to-month,91.5,0
8,DSL,Month-to-month,51.3,0
35,No,One year,21.1,0
56,Fiber optic,Month-to-month,104.75,0
42,Fiber optic,Month-to-month,106.15,1
65,Fiber optic,Month-to-month,85.75,0
2,No,One year,20.3,0
65,Fiber optic,One year,100.75,0
18,Fiber optic,Month-to-month,74.15,0
23,DSL,One year,78.55,0
4,DSL,Month-to-month,45.3,1
70,No,Two year,19.85,0
4,DSL,Month-to-month,50.7,0
19,DSL,Month-to-month,45.0,0
18,Fiber optic,Month-to-month,77.8,0
38,Fiber optic,Month-to-month,83.45,0
2,Fiber optic,Month-to-month,73.25,1
47,Fiber optic,One year,94.8,0
52,No,Two year,20.1,0
9,DSL,Month-to-month,59.9,0
26,DSL,One year,90.1,0
8,DSL,Month-to-month,51.05,1
44,DSL,One year,70.95,0
3,DSL,Month-to-month,29.2,0
2,DSL,Month-to-month,46.6,0
9,Fiber optic,Month-to-month,85.35,1
1,Fiber optic,Month-to-month,75.35,1
25,Fiber optic,Month-to-month,74.3,0
2,Fiber optic,Month-to-month,69.3,0
43,Fiber optic,Month-to-month,75.2,1
1,No,Month-to-month,20.9,1
58,Fiber optic,One year,94.3,0
59,DSL,Two year,76.45,0
44,DSL,One year,54.0,0
66,Fiber optic,One year,104.25,0
68,No,Two year,19.95,0
9,DSL,Month-to-month,24.95,0
19,Fiber optic,Month-to-month,84.75,0
4,No,Month-to-month,19.75,0
70,Fiber optic,Two year,113.65,0
1,DSL,Month-to-month,44.9,0
8,Fiber optic,Month-to-month,75.25,0
53,No,Two year,24.6,0
51,No,One year,25.0,0
11,No,Month-to-month,20.95,0
60,Fiber optic,Two year,110.6,0
17,DSL,Month-to-month,55.5,0
3,DSL,Month-to-month,43.3,1
70,Fiber optic,One year,109.5,1
1,No,Month-to-month,19.45,0
43,Fiber optic,Month-to-month,84.85,0
16,No,Month-to-month,19.6,0
57,DSL,One year,53.45,0
37,No,One year,19.8,0
72,Fiber optic,Two year,112.1,0
11,Fiber optic,Month-to-month,84.8,1
50,Fiber optic,Month-to-month,95.05,1
5,DSL,Month-to-month,50.35,1
1,Fiber optic,Month-to-month,74.6,1
16,No,Month-to-month,19.7,1
2,Fiber optic,Month-to-month,74.2,0
17,DSL,Month-to-month,69.0,0
16,No,One year,19.35,0
15,DSL,Month-to-month,59.45,1
10,No,One year,19.8,0
46,Fiber optic,One year,105.2,1
64,Fiber optic,Two year,109.2,0
1,Fiber optic,Month-to-month,79.15,0
25,DSL,One year,53.65,0
71,Fiber optic,Two year,100.2,0
8,DSL,Month-to-month,45.15,1
72,Fiber optic,Two year,108.65,0
49,DSL,Month-to-month,40.65,0
29,DSL,One year,55.35,0
72,Fiber optic,Two year,105.6,0
31,Fiber optic,Month-to-month,93.8,1
50,Fiber optic,Month-to-month,95.7,0
71,DSL,Two year,83.2,0
70,DSL,Two year,90.05,0
71,Fiber optic,One year,97.65,0
61,DSL,Two year,68.05,0
32,Fiber optic,Month-to-month,96.2,1
1,Fiber optic,Month-to-month,79.6,1
68,Fiber optic,Two year,102.1,0
62,No,Two year,23.4,0
7,Fiber optic,Month-to-month,71.05,0
20,Fiber optic,Month-to-month,85.25,1
6,No,One year,19.45,0
33,DSL,Month-to-month,59.45,0
28,Fiber optic,One year,92.2,0
27,No,Two year,19.85,0
7,DSL,Month-to-month,43.9,0
26,Fiber optic,Month-to-month,80.5,1
5,Fiber optic,Month-to-month,89.8,1
30,Fiber optic,Month-to-month,90.5,0
63,Fiber optic,One year,90.45,0
1,DSL,Month-to-month,50.75,1
53,DSL,One year,84.6,0
14,Fiber optic,Month-to-month,89.65,1
21,Fiber optic,Month-to-month,99.15,0
17,No,One year,19.95,0
16,No,Two year,20.5,0
35,DSL,Month-to-month,62.1,0
32,Fiber optic,Month-to-month,79.5,0
28,No,Month-to-month,19.55,0
1,No,Month-to-month,20.35,0
59,DSL,Month-to-month,51.7,0
72,No,One year,23.3,0
36,DSL,One year,65.4,1
40,DSL,Month-to-month,65.1,0
40,Fiber optic,Month-to-month,81.2,0
9,DSL,Month-to-month,72.9,1
63,DSL,Two year,74.5,0
3,Fiber optic,Month-to-month,80.5,0
40,DSL,One year,60.3,0
8,Fiber optic,Month-to-month,75.0,0
34,Fiber optic,One year,90.15,0
5,DSL,Month-to-month,40.0,1
9,Fiber optic,Month-to-month,99.45,1
9,DSL,Month-to-month,69.05,0
31,DSL,Month-to-month,59.7,0
50,No,One year,19.85,0
2,Fiber optic,Month-to-month,86.25,1
1,DSL,Month-to-month,45.65,1
8,Fiber optic,Month-to-month,70.1,1
9,DSL,Month-to-month,40.75,0
2,Fiber optic,Month-to-month,70.2,1
3,DSL,Month-to-month,55.35,1
25,Fiber optic,Month-to-month,95.7,0
1,DSL,Month-to-month,46.3,0
45,DSL,Month-to-month,81.3,0
51,Fiber optic,Month-to-month,84.2,1
55,No,Month-to-month,20.0,0
38,DSL,Month-to-month,66.15,0
2,DSL,Month-to-month,45.85,1
38,No,Month-to-month,19.6,0
34,DSL,Month-to-month,49.8,0
70,Fiber optic,One year,101.75,0
13,DSL,One year,55.15,0
39,Fiber optic,Month-to-month,75.25,1
61,Fiber optic,One year,103.95,0
12,Fiber optic,Month-to-month,100.15,1
41,Fiber optic,Two year,99.65,0
21,Fiber optic,Month-to-month,73.7,0
55,DSL,One year,50.05,0
69,DSL,Two year,60.25,0
26,Fiber optic,Month-to-month,105.75,1
69,Fiber optic,One year,87.3,0
18,DSL,Month-to-month,48.35,1
47,DSL,Month-to-month,54.25,0
72,DSL,Two year,85.3,0
33,DSL,Month-to-month,50.0,0
2,DSL,Month-to-month,24.4,1
72,DSL,Two year,90.95,0
37,Fiber optic,Month-to-month,72.25,0
62,Fiber optic,Month-to-month,96.1,0
71,No,Two year,19.85,0
23,DSL,Month-to-month,55.3,0
16,No,One year,20.1,0
9,DSL,Month-to-month,69.5,0
17,No,Two year,25.15,0
4,No,Month-to-month,20.95,1
1,DSL,Month-to-month,49.55,1
24,Fiber optic,Month-to-month,79.65,0
1,Fiber optic,Month-to-month,71.25,0
72,Fiber optic,Two year,113.8,0
72,No,Two year,24.55,0
11,No,Month-to-month,19.7,0
9,No,Month-to-month,20.25,1
2,DSL,Month-to-month,50.15,1
60,Fiber optic,One year,100.5,0
29,Fiber optic,Month-to-month,95.9,1
49,DSL,Two year,74.45,0
30,Fiber optic,Month-to-month,104.1,0
53,No,One year,19.05,0
39,No,Two year,25.0,0
9,No,Month-to-month,19.05,0
39,Fiber optic,One year,81.9,0
8,Fiber optic,Month-to-month,69.7,0
51,Fiber optic,One year,90.15,0
71,No,Two year,25.35,0
71,No,Two year,24.65,0
70,No,Two year,19.55,0
1,DSL,Month-to-month,25.25,1
38,DSL,Two year,60.0,0
28,Fiber optic,Month-to-month,89.9,0
32,No,Month-to-month,19.4,0
49,DSL,Two year,49.8,0
37,No,Two year,24.1,0
10,DSL,Month-to-month,54.25,0
67,Fiber optic,One year,109.9,0
7,DSL,One year,35.5,0
51,Fiber optic,One year,87.55,0
9,DSL,Month-to-month,45.15,1
9,Fiber optic,Month-to-month,88.4,0
4,DSL,Month-to-month,50.8,0
71,Fiber optic,Two year,99.0,0
50,Fiber optic,Month-to-month,84.4,1
24,Fiber optic,Two year,96.55,0
22,DSL,One year,59.75,0
44,Fiber optic,Month-to-month,111.5,0
33,No,Month-to-month,24.25,0
1,Fiber optic,Month-to-month,75.1,1
54,DSL,One year,70.15,1
42,Fiber optic,Month-to-month,101.75,1
1,DSL,Month-to-month,45.8,1
1,No,Month-to-month,20.5,0
30,DSL,One year,70.4,0
1,DSL,Month-to-month,30.55,0
16,DSL,Month-to-month,84.9,0
1,No,Month-to-month,20.1,1
9,DSL,Month-to-month,40.65,1
46,Fiber optic,Month-to-month,101.0,1
1,Fiber optic,Month-to-month,69.1,1
71,DSL,Two year,54.5,0
43,Fiber optic,Month-to-month,75.35,0
50,DSL,One year,44.45,0
13,Fiber optic,Month-to-month,75.0,1
19,Fiber optic,One year,100.0,1
41,Fiber optic,Month-to-month,98.05,0
1,Fiber optic,Month-to-month,71.15,1
24,DSL,Month-to-month,54.15,1
40,DSL,One year,63.9,0
3,DSL,Month-to-month,69.15,0
37,DSL,One year,64.65,0
67,Fiber optic,Two year,108.75,1
32,Fiber optic,Month-to-month,98.85,0
6,DSL,Month-to-month,49.15,1
32,Fiber optic,Month-to-month,89.6,0
59,Fiber optic,Month-to-month,83.25,0
30,DSL,One year,70.25,0
20,No,Month-to-month,19.4,1
27,No,Two year,24.5,0
20,Fiber optic,Month-to-month,79.15,1
9,No,One year,20.1,0
68,DSL,One year,73.0,0
69,DSL,Two year,61.4,0
26,Fiber optic,Month-to-month,84.3,0
69,No,Two year,19.9,0
11,No,Two year,20.4,0
1,DSL,Month-to-month,50.75,0
10,No,One year,20.45,0
55,DSL,One year,75.75,0
44,DSL,One year,65.4,0
46,Fiber optic,Month-to-month,80.4,1
69,DSL,Two year,59.75,0
11,Fiber optic,Month-to-month,78.5,0
11,Fiber optic,Month-to-month,102.0,1
29,DSL,Month-to-month,48.95,0
57,Fiber optic,Month-to-month,99.65,0
28,No,One year,18.25,0
42,DSL,Month-to-month,54.55,0
2,No,Month-to-month,20.65,1
23,DSL,One year,40.65,0
18,No,Month-to-month,20.45,0
62,No,One year,24.8,0
1,Fiber optic,Month-to-month,70.8,1
16,Fiber optic,Month-to-month,89.05,1
3,Fiber optic,Month-to-month,96.6,1
67,DSL,One year,88.8,0
62,No,Two year,20.05,0
57,Fiber optic,Month-to-month,104.5,1
2,Fiber optic,Month-to-month,69.8,0
23,DSL,Two year,77.15,0
25,DSL,Two year,35.05,0
72,Fiber optic,Two year,108.1,0
2,Fiber optic,Month-to-month,84.05,0
8,No,One year,20.2,0
5,DSL,Month-to-month,50.6,1
35,DSL,Month-to-month,49.2,0
24,No,One year,24.6,0
2,Fiber optic,Month-to-month,71.65,0
72,Fiber optic,Two year,104.9,0
41,Fiber optic,Month-to-month,106.5,0
4,DSL,Month-to-month,49.35,1
26,Fiber optic,One year,75.5,0
7,Fiber optic,Month-to-month,94.25,1
1,Fiber optic,Month-to-month,68.95,1
4,DSL,Month-to-month,58.5,0
48,DSL,Two year,78.9,0
2,Fiber optic,Month-to-month,93.85,1
12,DSL,One year,79.2,0
60,Fiber optic,Month-to-month,109.45,0
55,DSL,Two year,59.2,0
1,DSL,Month-to-month,29.15,0
1,No,Month-to-month,20.05,0
4,Fiber optic,Month-to-month,76.05,1
1,DSL,Month-to-month,24.45,1
42,DSL,Two year,66.5,0
1,DSL,Month-to-month,49.55,0
7,Fiber optic,Month-to-month,89.35,1
3,Fiber optic,Month-to-month,73.6,0
72,DSL,Two year,82.65,0
15,DSL,Month-to-month,49.0,0
4,Fiber optic,Month-to-month,80.35,1
11,No,One year,25.2,0
5,No,Month-to-month,25.45,0
1,DSL,Month-to-month,55.8,1
72,Fiber optic,Two year,110.9,0
55,Fiber optic,Month-to-month,77.75,0
40,No,Month-to-month,26.2,0
57,No,Two year,19.9,0
1,Fiber optic,Month-to-month,79.05,1
1,Fiber optic,Month-to-month,95.0,1
1,DSL,Month-to-month,25.2,1
52,DSL,One year,80.85,0
41,Fiber optic,Month-to-month,98.4,1
43,DSL,One year,56.35,0
47,No,Two year,19.3,0
3,DSL,Month-to-month,50.4,0
66,DSL,Two year,79.4,1
55,DSL,Two year,55.25,0
29,No,One year,19.1,0
12,Fiber optic,Month-to-month,84.05,0
66,Fiber optic,Month-to-month,105.2,0
35,Fiber optic,Month-to-month,101.4,1
10,Fiber optic,Month-to-month,89.8,1
27,Fiber optic,Month-to-month,75.75,0
58,Fiber optic,Month-to-month,95.3,0
54,Fiber optic,Two year,109.75,1
9,No,Month-to-month,19.85,0
2,No,One year,19.3,1
6,Fiber optic,Month-to-month,69.1,0
26,Fiber optic,Month-to-month,91.25,1
9,No,Month-to-month,20.25,0
8,DSL,Month-to-month,54.75,0
12,Fiber optic,Month-to-month,81.45,0
15,DSL,Month-to-month,49.1,1
43,DSL,One year,80.2,0
42,Fiber optic,Month-to-month,100.3,0
31,DSL,Month-to-month,65.25,1
66,Fiber optic,Two year,90.95,0
18,Fiber optic,Month-to-month,85.45,1
1,No,Month-to-month,20.0,0
61,Fiber optic,Two year,94.1,1
10,Fiber optic,Month-to-month,79.85,0
1,Fiber optic,Month-to-month,71.65,1
18,Fiber optic,Month-to-month,73.55,0
24,Fiber optic,Month-to-month,104.65,1
3,No,Month-to-month,19.3,0
50,No,One year,20.15,0
1,DSL,Month-to-month,44.55,0
2,DSL,Month-to-month,54.45,0
17,No,One year,19.65,0
69,Fiber optic,Two year,105.0,0
72,DSL,Two year,88.7,0
3,Fiber optic,Month-to-month,74.25,1
50,DSL,Two year,75.15,0
53,No,Two year,20.25,0
58,Fiber optic,Two year,109.1,0
46,DSL,One year,30.75,0
72,Fiber optic,Month-to-month,112.9,0
1,Fiber optic,Month-to-month,74.2,1
6,Fiber optic,Month-to-month,94.05,0
72,DSL,Two year,78.85,0
4,DSL,Month-to-month,55.3,0
52,No,Two year,19.35,0
0,No,Two year,25.35,0
2,No,One year,20.45,0
65,No,Two year,19.35,0
43,Fiber optic,Month-to-month,101.0,1
4,Fiber optic,Month-to-month,100.2,1
25,Fiber optic,One year,89.05,1
51,DSL,One year,78.65,0
12,DSL,Month-to-month,74.75,0
57,DSL,One year,70.1,1
24,No,One year,19.9,0
64,DSL,One year,58.35,0
4,Fiber optic,One year,105.65,1
26,Fiber optic,Month-to-month,100.5,0
15,No,Month-to-month,20.05,0
64,No,Two year,25.65,0
36,Fiber optic,Month-to-month,96.5,1
27,Fiber optic,Month-to-month,95.0,0
1,Fiber optic,Month-to-month,70.85,1
35,DSL,One year,85.95,1
4,Fiber optic,Month-to-month,73.9,1
8,DSL,Month-to-month,45.45,0
10,No,Month-to-month,20.0,0
2,DSL,Month-to-month,49.2,0
58,Fiber optic,Two year,109.45,1
51,DSL,Two year,83.25,0
46,No,Two year,19.25,0
1,No,Month-to-month,19.65,0
46,Fiber optic,Month-to-month,72.8,0
50,Fiber optic,Month-to-month,109.65,0
53,DSL,Month-to-month,65.0,0
61,Fiber optic,Month-to-month,114.1,0
5,No,Month-to-month,20.65,0
47,DSL,One year,86.95,0
54,Fiber optic,One year,94.75,0
19,DSL,Month-to-month,25.35,0
26,Fiber optic,Two year,105.45,0
70,No,Two year,25.4,0
17,Fiber optic,Month-to-month,102.55,0
30,Fiber optic,Month-to-month,100.2,1
1,No,Month-to-month,24.0,0
19,No,Two year,25.6,0
26,DSL,Two year,73.5,0
21,Fiber optic,Month-to-month,74.05,1
50,Fiber optic,One year,98.25,0
68,DSL,One year,54.4,0
3,Fiber optic,Month-to-month,101.55,1
9,Fiber optic,Month-to-month,103.1,0
51,DSL,Two year,34.2,0
9,DSL,Month-to-month,43.75,0
41,Fiber optic,One year,111.95,1
22,Fiber optic,Month-to-month,100.65,0
21,DSL,One year,55.95,1
71,Fiber optic,Two year,116.05,0
1,DSL,Month-to-month,45.75,1
26,DSL,One year,82.0,0
71,DSL,Two year,65.15,0
4,DSL,Month-to-month,44.8,0
12,Fiber optic,Month-to-month,79.8,0
18,Fiber optic,Month-to-month,88.85,0
3,Fiber optic,Month-to-month,74.95,0
72,Fiber optic,One year,106.85,0
11,Fiber optic,Month-to-month,74.95,1
1,Fiber optic,Month-to-month,80.15,1
13,No,One year,19.3,0
72,Fiber optic,One year,109.25,1
42,DSL,One year,56.1,0
17,No,Month-to-month,19.7,0
7,DSL,Month-to-month,51.3,0
68,Fiber optic,Two year,118.6,0
56,No,Two year,24.15,0
38,No,One year,20.3,0
72,Fiber optic,Two year,115.5,0
48,No,One year,25.05,0
52,Fiber optic,Month-to-month,109.1,0
35,No,One year,19.65,0
67,Fiber optic,Two year,111.3,0
1,DSL,Month-to-month,29.9,0
53,Fiber optic,Month-to-month,80.6,0
34,No,Month-to-month,20.8,0
3,DSL,Month-to-month,35.2,1
1,Fiber optic,Month-to-month,78.8,1
19,Fiber optic,Month-to-month,89.95,0
60,Fiber optic,Two year,116.05,0
11,No,Two year,19.55,0
47,Fiber optic,Month-to-month,106.4,1
18,DSL,Month-to-month,49.4,1
60,Fiber optic,Two year,115.25,0
72,No,Two year,24.8,0
39,No,One year,19.9,0
59,Fiber optic,One year,81.25,0
2,Fiber optic,Month-to-month,69.95,0
1,Fiber optic,Month-to-month,69.1,1
20,Fiber optic,Month-to-month,90.2,1
6,Fiber optic,Month-to-month,93.55,1
71,Fiber optic,Two year,86.4,0
24,DSL,Month-to-month,66.3,0
67,Fiber optic,Month-to-month,94.65,0
1,Fiber optic,Month-to-month,80.85,1
48,Fiber optic,One year,82.05,1
37,DSL,One year,72.1,0
11,DSL,Month-to-month,34.7,0
3,No,Month-to-month,20.55,1
18,Fiber optic,Month-to-month,95.95,0
50,DSL,One year,44.8,0
67,Fiber optic,One year,109.4,0
25,DSL,Month-to-month,71.05,0
2,Fiber optic,Month-to-month,78.55,1
9,No,Month-to-month,19.7,0
10,DSL,One year,40.25,0
70,No,Two year,19.85,0
9,DSL,Month-to-month,68.25,0
4,No,Month-to-month,20.15,0
2,DSL,Month-to-month,50.95,0
1,Fiber optic,Month-to-month,78.65,1
19,DSL,Month-to-month,25.15,0
7,No,Month-to-month,20.25,0
1,DSL,Month-to-month,42.9,1
1,DSL,Month-to-month,44.0,0
9,No,One year,20.25,0
3,DSL,Month-to-month,34.25,1
9,DSL,Month-to-month,58.5,1
5,DSL,Month-to-month,55.8,0
56,Fiber optic,One year,88.9,0
18,DSL,Month-to-month,57.65,0
49,Fiber optic,Month-to-month,96.2,1
70,DSL,Two year,79.15,0
72,Fiber optic,Two year,108.05,0
6,Fiber optic,Month-to-month,74.4,1
17,Fiber optic,Month-to-month,94.8,0
29,DSL,Month-to-month,45.9,0
6,Fiber optic,Month-to-month,105.3,1
63,Fiber optic,Two year,102.6,0
16,Fiber optic,Month-to-month,73.85,1
59,DSL,One year,61.35,0
3,DSL,Month-to-month,57.55,0
8,DSL,Month-to-month,29.25,0
7,Fiber optic,Month-to-month,84.55,1
68,No,Two year,19.6,0
68,Fiber optic,Two year,111.75,0
52,Fiber optic,One year,106.5,0
72,Fiber optic,Two year,107.7,0
32,No,One year,19.3,0
72,No,Two year,20.05,0
1,Fiber optic,Month-to-month,69.95,0
42,DSL,One year,63.7,0
25,No,Two year,24.75,1
45,DSL,Month-to-month,50.9,0
43,DSL,One year,60.4,0
37,DSL,One year,79.25,0
20,Fiber optic,Month-to-month,85.8,1
4,DSL,Month-to-month,24.45,1
63,Fiber optic,Two year,110.1,0
3,Fiber optic,Month-to-month,90.7,0
66,No,Two year,25.3,0
28,Fiber optic,Month-to-month,105.7,1
8,Fiber optic,Month-to-month,85.2,0
71,No,Two year,24.35,0
1,DSL,Month-to-month,24.25,1
72,No,Two year,25.1,0
16,DSL,Month-to-month,54.55,0
66,Fiber optic,Two year,96.6,0
11,Fiber optic,Month-to-month,76.5,1
51,DSL,One year,81.15,0
8,DSL,Month-to-month,38.5,0
14,Fiber optic,Month-to-month,92.9,0
4,Fiber optic,Month-to-month,93.5,1
70,DSL,Two year,84.7,0
70,DSL,Two year,66.0,0
54,Fiber optic,One year,101.5,1
28,Fiber optic,Month-to-month,74.9,1
24,No,Two year,20.75,0
69,DSL,Two year,61.45,0
42,DSL,Month-to-month,54.5,0
2,Fiber optic,Month-to-month,69.6,1
39,Fiber optic,Month-to-month,99.75,0
45,Fiber optic,Two year,109.75,0
72,DSL,Two year,80.85,0
38,No,Two year,20.3,0
72,DSL,Two year,67.8,0
1,No,Month-to-month,24.05,1
72,No,Two year,19.8,0
55,No,Two year,25.7,0
51,DSL,One year,56.15,0
63,DSL,Two year,86.7,0
1,No,Month-to-month,20.4,0
23,No,Two year,19.65,0
1,DSL,Month-to-month,50.55,1
2,DSL,Month-to-month,54.35,0
52,Fiber optic,Month-to-month,108.1,0
36,DSL,One year,54.45,0
1,DSL,Month-to-month,45.35,0
28,DSL,One year,59.0,0
7,DSL,One year,69.45,0
14,Fiber optic,Month-to-month,100.55,1
72,DSL,Two year,64.95,0
1,No,Month-to-month,20.5,1
10,No,Month-to-month,18.85,0
42,No,One year,19.8,0
7,DSL,Month-to-month,25.05,0
4,Fiber optic,Month-to-month,74.8,1
72,Fiber optic,Two year,114.3,0
20,DSL,Month-to-month,24.45,1
63,Fiber optic,Two year,109.2,0
56,DSL,Two year,45.05,0
5,DSL,Month-to-month,51.0,0
72,Fiber optic,Two year,110.45,0
68,Fiber optic,Month-to-month,84.65,0
67,DSL,One year,60.05,0
8,DSL,Month-to-month,44.65,0
52,Fiber optic,Month-to-month,93.25,0
18,No,Month-to-month,20.25,0
59,No,Two year,25.45,0
60,No,Two year,20.6,0
7,Fiber optic,Month-to-month,94.1,0
59,DSL,One year,34.8,0
46,DSL,Two year,60.75,0
5,DSL,Month-to-month,51.35,0
59,DSL,Two year,64.05,0
70,DSL,Two year,84.8,0
14,Fiber optic,Month-to-month,71.0,1
44,DSL,Month-to-month,50.15,0
64,Fiber optic,Two year,94.6,0
58,DSL,Two year,59.75,0
46,Fiber optic,One year,100.25,0
58,Fiber optic,Month-to-month,98.9,0
72,Fiber optic,Two year,97.7,0
30,DSL,Month-to-month,40.3,1
11,DSL,Month-to-month,60.25,0
34,DSL,Month-to-month,56.25,0
54,DSL,Two year,46.2,0
3,DSL,Month-to-month,50.6,1
72,No,Two year,24.9,0
40,Fiber optic,Month-to-month,84.85,1
2,DSL,Month-to-month,65.7,1
54,DSL,Two year,63.35,0
14,DSL,Month-to-month,50.1,0
1,Fiber optic,Month-to-month,70.5,1
10,Fiber optic,Month-to-month,94.85,1
1,DSL,Month-to-month,50.15,0
1,No,Month-to-month,19.75,1
56,DSL,One year,64.65,0
68,DSL,Two year,79.6,0
14,No,One year,19.5,0
68,Fiber optic,Two year,99.55,0
55,Fiber optic,Month-to-month,74.0,0
16,DSL,Month-to-month,38.9,0
9,Fiber optic,Month-to-month,79.55,0
14,DSL,Month-to-month,65.45,1
58,Fiber optic,Month-to-month,98.7,1
53,DSL,Month-to-month,46.3,0
70,Fiber optic,Two year,99.35,0
14,Fiber optic,Month-to-month,95.8,0
22,DSL,One year,67.5,1
10,Fiber optic,Month-to-month,78.15,0
29,No,Two year,26.1,0
1,Fiber optic,Month-to-month,69.6,1
49,DSL,One year,84.35,1
68,Fiber optic,Month-to-month,100.2,1
1,Fiber optic,Month-to-month,78.05,1
30,DSL,One year,40.35,0
72,DSL,Two year,79.2,0
10,No,Month-to-month,20.9,0
7,Fiber optic,Month-to-month,73.6,1
9,Fiber optic,Month-to-month,74.75,1
1,DSL,Month-to-month,49.9,0
20,DSL,Month-to-month,68.9,0
1,No,Month-to-month,20.25,0
29,Fiber optic,Month-to-month,76.0,0
1,Fiber optic,Month-to-month,74.0,0
3,Fiber optic,Month-to-month,82.3,0
20,Fiber optic,Month-to-month,89.4,0
64,Fiber optic,Month-to-month,99.15,0
1,No,Month-to-month,20.2,1
6,DSL,Month-to-month,29.45,0
50,No,Two year,19.8,0
6,DSL,Month-to-month,59.15,0
7,DSL,Month-to-month,44.75,0
72,Fiber optic,Two year,90.8,0
8,DSL,Month-to-month,49.55,0
67,Fiber optic,Two year,106.7,0
24,Fiber optic,Month-to-month,93.55,1
72,Fiber optic,Two year,94.45,0
33,No,One year,19.45,0
2,DSL,Month-to-month,25.05,1
70,DSL,Two year,67.95,0
22,DSL,One year,65.25,0
59,Fiber optic,Month-to-month,99.45,0
36,No,One year,20.35,0
51,No,Two year,19.95,0
53,DSL,One year,77.4,0
20,No,One year,19.7,0
63,Fiber optic,Two year,99.7,0
40,Fiber optic,Month-to-month,74.8,0
35,No,One year,19.15,0
26,Fiber optic,One year,78.95,0
27,Fiber optic,Month-to-month,95.55,1
53,DSL,One year,62.85,0
34,Fiber optic,Month-to-month,71.55,0
19,Fiber optic,Month-to-month,94.95,0
43,Fiber optic,Month-to-month,86.1,0
6,No,Month-to-month,19.55,0
56,No,Two year,24.8,0
57,DSL,Month-to-month,39.3,1
34,Fiber optic,Month-to-month,84.05,0
10,DSL,Month-to-month,36.25,0
1,No,Month-to-month,20.25,1
13,DSL,Month-to-month,23.9,1
56,Fiber optic,Month-to-month,98.6,0
55,Fiber optic,Month-to-month,103.65,0
36,DSL,Two year,92.9,0
47,No,One year,19.9,0
12,No,Month-to-month,20.1,0
1,Fiber optic,Month-to-month,85.45,1
24,Fiber optic,Month-to-month,80.5,0
63,Fiber optic,One year,99.9,1
35,DSL,Month-to-month,39.85,0
67,DSL,One year,60.5,0
25,Fiber optic,Month-to-month,84.8,1
21,Fiber optic,Month-to-month,103.85,0
13,DSL,Month-to-month,67.8,0
35,Fiber optic,Month-to-month,75.2,1
71,No,Two year,24.85,0
29,No,Month-to-month,19.35,0
71,DSL,Two year,49.35,1
7,Fiber optic,Month-to-month,89.0,0
57,DSL,Month-to-month,55.0,0
65,DSL,Two year,76.15,0
27,No,One year,20.3,0
6,Fiber optic,Month-to-month,74.9,1
72,Fiber optic,Two year,117.35,0
1,No,Month-to-month,19.75,0
11,DSL,Month-to-month,45.2,0
39,No,Two year,25.2,0
59,Fiber optic,Month-to-month,89.75,0
26,DSL,One year,75.0,0
2,DSL,Month-to-month,49.95,0
72,DSL,Two year,65.7,0
65,DSL,One year,67.05,0
72,Fiber optic,Two year,110.9,0
6,Fiber optic,Month-to-month,87.95,0
32,No,One year,19.8,0
50,DSL,One year,75.7,0
61,DSL,Two year,62.15,0
15,Fiber optic,Month-to-month,101.25,1
72,Fiber optic,Two year,115.15,0
9,No,Month-to-month,18.95,1
1,No,Month-to-month,19.5,0
12,Fiber optic,Month-to-month,86.55,0
37,DSL,Month-to-month,28.6,1
61,No,One year,20.4,0
18,No,One year,19.8,0
21,DSL,Month-to-month,45.65,0
68,DSL,Two year,56.4,0
12,Fiber optic,Month-to-month,73.3,0
2,DSL,Month-to-month,24.35,1
62,Fiber optic,Month-to-month,101.35,0
29,Fiber optic,Month-to-month,98.65,1
1,DSL,Month-to-month,33.6,0
5,Fiber optic,Month-to-month,79.9,1
1,No,Month-to-month,20.7,0
62,Fiber optic,Two year,104.05,0
36,No,Two year,20.25,0
28,Fiber optic,Month-to-month,103.3,1
69,DSL,One year,73.7,0
11,Fiber optic,Month-to-month,96.2,1
63,Fiber optic,Month-to-month,108.75,0
23,No,One year,20.15,0
10,No,Month-to-month,19.75,0
71,No,Two year,25.95,0
45,DSL,Month-to-month,70.05,0
70,No,Two year,24.05,0
22,Fiber optic,Month-to-month,84.75,0
52,No,Two year,23.05,0
55,Fiber optic,One year,104.15,1
65,DSL,Two year,59.95,0
72,No,Two year,19.55,0
10,No,One year,19.6,0
7,No,One year,20.05,0
5,Fiber optic,Month-to-month,85.55,0
24,DSL,Two year,78.6,0
72,Fiber optic,Two year,116.8,0
21,DSL,Month-to-month,43.55,0
69,DSL,One year,60.8,0
44,DSL,Month-to-month,54.9,0
61,DSL,One year,65.2,0
24,Fiber optic,Month-to-month,102.95,1
1,Fiber optic,Month-to-month,90.6,1
6,DSL,Month-to-month,50.8,1
